 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.024,170.615,46.934,58,254,7.051,0.829,7.050,0.830,0.212,0.143,47.422,0
2,0.025,208.759,48.312,61,254,2.052,1.271,2.052,1.270,0.191,0.170,173.890,0
3,0.023,193.284,50.159,65,254,6.434,1.600,6.435,1.599,0.186,0.156,169.035,0
4,0.026,193.763,48.120,70,254,2.452,1.641,2.456,1.639,0.202,0.163,27.471,0
5,0.021,221.513,48.926,63,254,4.741,1.702,4.741,1.703,0.178,0.152,58.343,0
6,0.025,198.372,52.083,61,254,3.156,2.142,3.155,2.139,0.199,0.157,38.181,0
7,0.024,198.938,49.899,65,254,5.682,2.532,5.683,2.532,0.200,0.153,52.311,0
8,0.026,174.399,47.590,78,254,8.319,2.596,8.319,2.596,0.198,0.164,142.981,0
9,0.035,167.325,54.758,28,254,2.783,2.633,2.786,2.633,0.255,0.173,171.464,0
10,0.029,187.197,44.024,71,254,4.824,2.861,4.824,2.859,0.257,0.144,66.943,0
11,0.027,200.300,51.729,62,254,7.989,3.215,7.990,3.215,0.193,0.180,149.333,0
12,0.024,203.692,52.614,67,254,4.524,3.354,4.527,3.356,0.205,0.146,3.483,0
13,0.028,183.986,47.815,63,254,7.587,3.437,7.588,3.438,0.202,0.177,167.903,0
14,0.024,218.318,50.635,63,254,4.148,3.453,4.149,3.452,0.184,0.169,157.909,0
15,0.028,199.484,49.816,65,254,3.942,3.542,3.943,3.543,0.190,0.186,175.794,0
16,0.033,160.833,47.659,34,254,6.406,3.603,6.406,3.603,0.223,0.190,137.215,0
17,0.028,197.456,49.731,51,254,0.884,3.608,0.887,3.608,0.241,0.146,121.364,0
18,0.029,168.733,47.760,67,254,7.761,3.672,7.765,3.673,0.233,0.156,113.731,0
19,0.032,189.514,45.699,52,254,4.864,3.971,4.866,3.974,0.236,0.174,71.846,0
20,0.028,198.531,45.986,55,254,1.619,4.072,1.619,4.072,0.196,0.184,83.168,0
21,0.022,220.738,51.601,50,254,1.284,4.065,1.285,4.065,0.176,0.158,24.292,0
22,0.036,156.640,49.945,20,254,5.818,4.148,5.821,4.146,0.219,0.206,121.488,0
23,0.027,214.021,46.445,58,254,1.133,4.189,1.132,4.189,0.206,0.164,21.241,0
24,0.027,204.712,51.889,58,254,3.400,4.277,3.404,4.279,0.225,0.154,175.799,0
25,0.022,218.536,51.277,63,254,2.870,4.464,2.871,4.465,0.180,0.154,101.057,0
26,0.033,187.140,47.007,59,254,5.029,4.541,5.031,4.541,0.207,0.201,109.425,0
27,0.026,207.753,48.642,66,254,2.101,4.559,2.101,4.560,0.186,0.177,143.563,0
28,0.030,212.009,48.336,54,254,2.359,4.583,2.360,4.584,0.228,0.165,46.005,0
29,0.031,208.417,49.157,67,254,1.079,4.595,1.078,4.597,0.230,0.172,13.540,0
30,0.061,203.990,50.765,32,254,0.709,4.700,0.705,4.699,0.370,0.208,160.983,0
31,0.021,218.981,55.690,62,254,2.755,4.803,2.752,4.804,0.173,0.156,67.442,0
32,0.031,185.904,47.398,62,254,4.270,4.912,4.273,4.912,0.256,0.154,145.091,0
33,0.031,196.528,47.324,65,254,2.138,5.016,2.140,5.016,0.219,0.179,21.867,0
34,0.038,185.964,51.205,51,254,0.919,5.084,0.923,5.089,0.227,0.210,70.842,0
35,0.029,196.496,46.169,54,254,4.182,5.094,4.183,5.095,0.252,0.144,134.789,0
36,0.028,214.484,48.894,59,254,1.190,5.118,1.189,5.117,0.215,0.168,18.070,0
