 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
120,0.003,92.116,20.847,39,161,1.868,6.377,1.869,6.376,0.069,0.056,163.350,0
121,0.023,129.061,42.181,30,254,8.508,6.516,8.511,6.516,0.195,0.150,83.072,0
122,0.008,93.878,26.703,37,188,6.345,6.535,6.347,6.533,0.115,0.089,152.619,0
123,0.029,86.324,25.186,20,173,1.924,6.662,1.923,6.663,0.238,0.156,147.594,0
124,0.010,105.704,26.423,41,200,6.441,6.648,6.442,6.649,0.138,0.096,102.011,0
125,0.007,84.036,18.365,31,169,6.265,6.702,6.265,6.703,0.156,0.058,123.636,0
126,0.005,94.491,33.028,37,210,7.673,6.678,7.673,6.679,0.099,0.063,46.576,0
127,0.024,160.309,54.763,38,254,5.390,6.755,5.392,6.759,0.214,0.143,168.810,0
128,0.013,122.521,45.167,31,254,7.665,6.834,7.667,6.832,0.181,0.095,17.976,0
129,0.012,108.416,27.646,46,204,7.487,6.910,7.487,6.909,0.143,0.108,143.302,0
130,0.014,107.857,31.030,41,254,7.487,7.094,7.490,7.092,0.192,0.095,48.014,0
131,0.028,101.742,29.581,33,227,1.243,7.217,1.241,7.218,0.229,0.154,131.588,0
132,0.029,153.889,55.899,25,254,4.258,7.359,4.258,7.357,0.254,0.143,70.797,0
133,0.019,124.698,43.379,33,254,0.376,7.338,0.380,7.339,0.202,0.117,67.374,0
134,0.027,101.329,33.645,37,254,2.399,7.540,2.400,7.538,0.345,0.099,158.228,0
135,0.026,148.813,50.393,30,254,3.132,7.703,3.131,7.699,0.198,0.165,22.383,0
136,0.028,107.803,33.492,41,254,4.763,7.796,4.764,7.794,0.268,0.135,66.068,0
137,0.023,141.081,50.068,31,254,5.611,7.819,5.608,7.817,0.237,0.125,173.001,0
138,0.028,102.974,29.300,38,241,0.858,8.410,0.861,8.409,0.222,0.159,117.662,0
139,0.015,110.651,35.715,41,242,3.506,8.457,3.508,8.459,0.189,0.104,14.192,0
