 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.028,190.810,49.946,55,254,1.543,1.649,1.543,1.652,0.207,0.172,79.582,0
2,0.025,184.105,49.158,62,254,8.455,1.788,8.454,1.788,0.203,0.157,139.740,0
3,0.031,142.995,44.304,54,254,8.173,1.814,8.170,1.814,0.224,0.176,112.091,0
4,0.033,161.087,47.921,51,254,4.245,1.802,4.242,1.808,0.234,0.179,170.595,0
5,0.030,166.923,47.505,51,254,5.730,1.875,5.727,1.877,0.224,0.169,88.078,0
6,0.031,164.095,46.781,63,254,6.959,1.882,6.959,1.882,0.210,0.186,83.103,0
7,0.034,176.399,49.103,53,254,0.748,1.868,0.748,1.869,0.259,0.165,8.862,0
8,0.025,199.169,52.093,61,254,7.293,1.879,7.291,1.876,0.182,0.176,163.902,0
9,0.039,176.871,44.645,58,254,2.663,2.066,2.665,2.070,0.242,0.202,30.083,0
10,0.022,198.675,52.725,62,254,4.631,2.047,4.631,2.050,0.179,0.160,27.832,0
11,0.025,186.665,53.926,59,254,4.274,2.176,4.272,2.178,0.196,0.160,75.194,0
12,0.029,155.513,44.249,58,254,7.520,2.196,7.520,2.196,0.233,0.160,143.494,0
13,0.030,181.475,50.150,50,254,1.056,2.317,1.055,2.316,0.251,0.155,116.178,0
14,0.027,167.708,52.245,46,254,6.970,2.410,6.975,2.410,0.193,0.178,26.383,0
15,0.036,146.652,44.122,55,254,5.844,2.461,5.844,2.460,0.223,0.204,114.177,0
16,0.028,150.527,44.576,53,254,7.635,2.544,7.637,2.546,0.220,0.162,177.801,0
17,0.025,191.262,55.689,54,254,4.065,2.610,4.064,2.607,0.225,0.143,76.358,0
18,0.033,134.223,39.031,54,254,6.738,2.674,6.739,2.675,0.229,0.185,31.943,0
19,0.033,167.217,49.136,27,254,1.339,2.916,1.338,2.916,0.245,0.173,140.479,0
20,0.030,189.164,52.474,61,254,3.628,3.239,3.629,3.236,0.221,0.173,23.726,0
21,0.035,155.794,46.165,55,254,4.355,3.415,4.352,3.419,0.256,0.173,123.327,0
22,0.032,133.459,43.609,46,254,6.553,3.439,6.551,3.439,0.218,0.184,54.368,0
23,0.029,162.780,46.768,61,254,6.916,3.428,6.916,3.425,0.240,0.154,31.882,0
24,0.020,223.672,51.234,53,254,6.321,3.439,6.321,3.438,0.164,0.156,35.326,0
25,0.034,170.550,46.862,55,254,3.438,3.535,3.438,3.536,0.253,0.169,159.348,0
26,0.027,200.516,52.574,42,254,1.500,3.614,1.497,3.615,0.215,0.159,167.178,0
27,0.035,168.412,45.776,63,254,2.857,3.658,2.856,3.656,0.251,0.178,82.603,0
28,0.032,180.840,47.592,65,254,5.227,3.745,5.228,3.743,0.221,0.181,168.915,0
29,0.034,167.767,49.699,51,254,2.327,3.992,2.327,3.992,0.261,0.165,94.622,0
30,0.030,146.918,40.566,47,254,8.282,4.042,8.284,4.042,0.237,0.160,93.004,0
31,0.071,208.177,52.955,50,254,6.032,4.153,6.034,4.144,0.430,0.210,75.676,0
32,0.018,159.696,44.060,41,254,4.738,4.149,4.739,4.150,0.243,0.096,77.799,0
33,0.027,197.571,51.681,51,254,2.733,4.132,2.733,4.132,0.191,0.181,56.126,0
34,0.017,148.797,41.975,62,254,4.904,4.203,4.906,4.202,0.181,0.118,77.052,0
35,0.052,186.937,51.758,51,254,0.961,4.493,0.957,4.497,0.354,0.189,40.435,0
36,0.037,169.577,45.329,54,254,3.878,4.491,3.875,4.491,0.250,0.186,20.320,0
37,0.033,145.662,38.456,55,254,8.315,4.649,8.314,4.653,0.280,0.148,120.265,0
38,0.043,170.903,50.561,47,254,0.823,4.753,0.827,4.751,0.253,0.217,3.153,0
39,0.031,186.755,52.295,51,254,5.729,4.783,5.729,4.781,0.242,0.161,4.062,0
40,0.031,172.588,51.261,57,254,4.777,4.996,4.776,4.997,0.200,0.194,86.252,0
41,0.033,157.850,51.576,7,254,6.457,5.038,6.457,5.040,0.229,0.183,112.839,0
42,0.065,192.955,49.216,53,254,3.088,5.169,3.086,5.171,0.345,0.240,145.588,0
43,0.030,165.443,46.244,57,254,8.318,5.466,8.317,5.466,0.231,0.163,136.835,0
