 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
73,0.049,66.505,35.748,0,209,3.033,4.240,3.032,4.243,0.284,0.220,157.270,0
74,0.046,72.169,38.964,3,254,6.697,4.245,6.698,4.248,0.267,0.221,19.665,0
75,0.047,79.017,35.945,6,226,1.523,4.264,1.520,4.264,0.262,0.228,58.902,0
76,0.101,117.007,43.650,20,254,5.213,4.380,5.216,4.378,0.415,0.311,38.492,0
77,0.046,78.995,34.873,10,254,4.046,4.354,4.049,4.352,0.281,0.206,67.938,0
78,0.059,86.675,36.396,12,254,0.266,4.356,0.268,4.355,0.289,0.258,3.250,0
79,0.046,94.773,39.573,15,254,0.699,4.389,0.698,4.389,0.299,0.195,0.299,0
80,0.059,75.152,45.140,0,254,1.153,4.421,1.149,4.424,0.314,0.238,38.511,0
81,0.044,86.548,45.889,0,254,5.774,4.480,5.777,4.481,0.274,0.203,160.243,0
82,0.061,63.008,35.912,0,254,4.421,4.640,4.418,4.642,0.289,0.271,160.838,0
83,0.042,93.389,42.809,10,254,4.731,4.652,4.729,4.652,0.260,0.208,107.799,0
84,0.047,78.996,33.168,7,219,1.442,4.649,1.444,4.650,0.266,0.224,142.840,0
85,0.053,83.992,39.236,10,254,0.761,4.679,0.760,4.680,0.300,0.224,2.135,0
86,0.046,70.270,34.947,0,219,3.491,4.805,3.490,4.799,0.257,0.230,142.435,0
87,0.051,68.073,37.285,0,254,1.979,4.949,1.979,4.946,0.261,0.250,176.387,0
88,0.059,70.931,39.597,0,251,0.871,5.041,0.870,5.041,0.288,0.260,10.762,0
89,0.047,65.597,31.446,0,224,7.816,5.029,7.824,5.033,0.251,0.241,0.086,0
90,0.054,83.295,38.159,2,249,0.167,5.139,0.163,5.136,0.289,0.237,142.601,0
91,0.044,73.179,32.230,15,236,2.415,5.196,2.414,5.202,0.272,0.204,39.406,0
92,0.047,87.031,39.555,0,250,5.126,5.212,5.123,5.214,0.250,0.240,125.657,0
93,0.055,66.715,35.690,0,249,1.554,5.417,1.547,5.414,0.275,0.255,82.935,0
94,0.047,62.791,33.116,0,207,7.532,5.394,7.532,5.392,0.262,0.227,175.485,0
95,0.051,71.145,38.930,0,223,2.112,5.471,2.110,5.468,0.265,0.244,13.860,0
96,0.045,62.531,26.915,0,189,7.953,5.525,7.953,5.525,0.252,0.230,94.161,0
97,0.056,74.974,39.360,0,254,4.326,5.610,4.329,5.616,0.275,0.258,30.585,0
98,0.038,102.547,38.748,18,254,3.596,5.759,3.598,5.752,0.249,0.193,59.432,0
99,0.050,70.178,36.237,0,208,2.388,5.789,2.385,5.781,0.270,0.234,167.056,0
100,0.051,76.125,35.733,0,246,5.284,5.798,5.281,5.798,0.283,0.228,177.371,0
101,0.050,78.745,40.411,0,254,4.610,5.921,4.605,5.924,0.295,0.213,37.551,0
102,0.045,87.793,39.423,6,249,4.198,5.929,4.199,5.929,0.253,0.227,22.339,0
103,0.073,102.582,42.762,7,254,3.837,5.977,3.836,5.980,0.316,0.293,117.351,0
104,0.048,72.263,38.375,0,254,2.867,6.020,2.861,6.019,0.261,0.235,120.449,0
105,0.047,77.080,41.491,0,254,1.339,6.035,1.344,6.035,0.262,0.230,9.542,0
106,0.039,94.750,31.360,19,223,3.267,6.087,3.270,6.089,0.239,0.210,51.081,0
107,0.045,88.055,47.328,0,254,4.732,6.243,4.734,6.245,0.260,0.222,1.236,0
108,0.056,68.311,33.855,0,250,0.643,6.295,0.645,6.296,0.277,0.256,58.091,0
109,0.041,74.668,33.356,3,232,8.240,6.260,8.239,6.265,0.234,0.221,142.826,0
110,0.047,71.819,33.557,0,214,5.182,6.276,5.181,6.275,0.253,0.238,7.855,0
111,0.044,87.957,32.791,18,254,4.452,6.404,4.454,6.398,0.293,0.192,98.626,0
112,0.047,65.502,35.716,0,228,6.500,6.402,6.498,6.404,0.259,0.232,113.411,0
113,0.043,76.229,31.647,4,234,7.108,6.417,7.106,6.412,0.244,0.226,34.462,0
114,0.045,73.756,32.773,0,216,6.079,6.498,6.076,6.496,0.261,0.221,36.104,0
115,0.043,75.409,37.641,0,235,2.235,6.538,2.231,6.544,0.301,0.180,45.191,0
116,0.046,68.601,37.059,0,254,1.408,6.563,1.403,6.567,0.261,0.225,55.847,0
117,0.049,72.146,30.988,4,224,8.022,6.588,8.022,6.584,0.277,0.227,122.557,0
118,0.045,76.321,34.801,3,234,2.899,6.599,2.901,6.600,0.254,0.228,27.645,0
119,0.039,86.179,33.629,11,254,2.484,6.746,2.479,6.752,0.282,0.177,177.011,0
120,0.053,60.733,29.670,0,201,7.750,6.819,7.756,6.824,0.277,0.246,8.059,0
121,0.059,61.241,32.502,0,254,3.260,6.866,3.264,6.863,0.312,0.241,116.132,0
122,0.047,76.144,34.556,0,205,4.592,6.841,4.588,6.839,0.259,0.231,97.973,0
123,0.052,64.910,35.006,0,223,5.582,6.936,5.589,6.935,0.272,0.245,14.311,0
124,0.046,75.564,36.977,0,230,4.125,7.022,4.123,7.022,0.247,0.236,119.067,0
125,0.044,80.372,31.306,8,242,2.703,7.036,2.700,7.037,0.265,0.210,70.094,0
126,0.045,70.922,29.736,3,193,6.078,7.058,6.077,7.055,0.253,0.226,10.702,0
127,0.048,67.098,37.727,0,238,4.551,7.293,4.552,7.294,0.282,0.218,149.675,0
128,0.051,75.471,36.651,3,254,3.874,7.323,3.879,7.322,0.261,0.249,168.632,0
129,0.036,95.631,39.619,8,235,4.960,7.315,4.960,7.318,0.228,0.201,60.263,0
130,0.029,114.466,48.435,22,254,2.361,7.345,2.358,7.346,0.215,0.171,1.674,0
131,0.043,77.076,34.992,7,254,6.314,7.363,6.311,7.362,0.275,0.198,157.431,0
132,0.040,86.531,38.510,10,249,2.046,7.420,2.039,7.419,0.276,0.186,161.816,0
133,0.041,89.302,34.610,11,232,7.930,7.536,7.929,7.533,0.240,0.216,76.900,0
134,0.050,65.606,33.919,0,214,7.579,7.544,7.579,7.542,0.288,0.221,3.443,0
135,0.047,59.095,29.615,0,242,5.947,7.652,5.949,7.654,0.250,0.239,34.706,0
136,0.080,87.779,36.285,8,254,2.461,7.691,2.456,7.687,0.343,0.297,21.414,0
137,0.046,75.490,35.830,2,254,3.629,7.883,3.629,7.885,0.263,0.221,159.271,0
138,0.037,84.926,34.261,23,250,5.340,7.964,5.339,7.962,0.289,0.164,79.248,0
139,0.047,61.006,32.850,0,220,5.805,8.016,5.799,8.015,0.263,0.226,123.728,0
140,0.038,91.184,36.549,18,254,2.229,8.020,2.229,8.018,0.231,0.210,20.783,0
141,0.048,67.074,34.309,0,219,3.918,8.165,3.916,8.164,0.274,0.223,146.207,0
142,0.048,65.526,33.034,0,203,3.689,8.363,3.687,8.362,0.290,0.212,127.197,0
143,0.055,63.331,31.010,0,188,2.380,8.357,2.389,8.356,0.284,0.248,168.412,0
144,0.043,76.791,33.273,2,216,4.595,8.369,4.594,8.367,0.254,0.218,18.184,0
145,0.030,111.254,43.438,19,254,0.809,8.407,0.810,8.406,0.239,0.158,110.104,0
