ImageNumber,"Total
 Cell Count","Class1
 Cell Count","Class2
 Cell Count","Class3
 Cell Count","p(Enriched)
class1","p(Enriched)
class2","p(Enriched)
class3","Enriched Score
class1","Enriched Score
class2","Enriched Score
class3","Training Total
 Cell Count","Training Class1
 Cell Count","Training Class2
 Cell Count","Training Class3
 Cell Count"
1,127,1,54,72,0.16841877810172107,0.8004251019853988,0.5224286287407012,-0.6935141617083277,0.6032147839947003,0.03898868350758078,3,0,1,2
2,83,22,3,58,0.6122027982759929,0.3899980430435121,0.6310856781274428,0.1982906393910097,-0.1942688004776392,0.23316280880380363,5,2,0,3
3,147,0,141,6,0.07972323597329056,0.9905929624528967,0.07185382711066209,-1.0623335382701669,2.0224423608004933,-1.1111664735717097,5,0,5,0
4,74,47,0,27,0.8463585725637496,0.14571686747585094,0.36280855640379295,0.7410460640170775,-0.7680920049814985,-0.24459241450534308,2,1,0,1
5,112,74,3,35,0.8601441212032161,0.35752373215195454,0.32019679231466597,0.7888904989089806,-0.25455221485472057,-0.3269662325865216,4,4,0,0
6,110,15,4,91,0.47776828779421576,0.39141725457146387,0.748546557775851,-0.03864592078904777,-0.19167966861358676,0.47376123239048246,1,0,0,1
7,126,2,66,58,0.21523472549059783,0.8480220393394154,0.4375026238993608,-0.5618274367221143,0.7466265267645096,-0.10913983889603551,7,1,4,2
8,111,78,0,33,0.8796996433830746,0.12951193092093508,0.307935080566696,0.8640675011553317,-0.8274530446352182,-0.3516876681410094,3,2,0,1
