 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.028,172.928,47.358,59,254,6.579,0.554,6.578,0.551,0.253,0.141,111.130,0
2,0.016,164.748,45.637,65,254,3.742,0.531,3.746,0.528,0.157,0.127,20.368,0
3,0.021,215.559,50.272,52,254,6.308,0.644,6.307,0.643,0.192,0.136,136.056,0
4,0.028,171.028,42.679,61,254,7.105,0.804,7.104,0.802,0.231,0.157,105.930,0
5,0.038,148.850,40.856,63,254,4.859,1.009,4.861,1.008,0.254,0.188,70.193,0
6,0.021,207.784,53.838,70,254,0.406,1.185,0.405,1.186,0.180,0.151,72.641,0
7,0.021,219.199,48.373,58,254,4.204,1.193,4.204,1.192,0.192,0.141,82.870,0
8,0.025,205.104,51.691,65,254,6.118,1.269,6.115,1.273,0.193,0.164,51.996,0
9,0.020,155.412,42.884,61,254,6.695,1.262,6.698,1.260,0.172,0.148,69.995,0
10,0.028,201.634,46.462,48,254,2.282,1.324,2.283,1.324,0.209,0.171,45.770,0
11,0.039,165.690,45.967,54,254,2.481,1.378,2.479,1.372,0.296,0.170,83.476,0
12,0.014,151.680,45.318,59,254,6.828,1.347,6.823,1.348,0.159,0.113,41.395,0
13,0.015,202.674,50.689,57,254,1.639,1.427,1.639,1.428,0.149,0.125,7.298,0
14,0.013,191.659,50.951,57,254,1.773,1.516,1.772,1.517,0.140,0.117,18.979,0
15,0.027,207.274,47.944,51,254,5.502,1.734,5.504,1.737,0.196,0.176,155.414,0
16,0.024,217.251,49.478,51,254,3.650,1.910,3.649,1.911,0.209,0.149,166.188,0
17,0.026,194.673,46.664,50,254,7.251,1.949,7.251,1.949,0.273,0.122,28.707,0
18,0.027,206.589,49.125,48,254,5.775,2.071,5.775,2.069,0.193,0.179,68.035,0
19,0.021,222.141,50.197,74,254,6.655,2.117,6.654,2.118,0.196,0.137,177.290,0
20,0.014,198.731,51.710,58,254,0.491,2.138,0.489,2.137,0.146,0.119,108.329,0
21,0.013,207.909,49.690,58,254,0.341,2.163,0.340,2.162,0.143,0.119,89.393,0
22,0.024,221.269,48.385,66,254,6.403,2.229,6.402,2.229,0.185,0.164,50.976,0
23,0.024,217.946,48.886,70,254,7.412,2.243,7.411,2.243,0.185,0.165,107.309,0
24,0.024,191.397,50.355,67,254,8.525,2.282,8.528,2.279,0.186,0.163,66.857,0
25,0.007,107.834,18.323,54,167,0.619,2.301,0.619,2.301,0.109,0.086,41.423,0
26,0.006,106.694,18.654,59,172,0.722,2.330,0.722,2.330,0.099,0.072,147.032,0
27,0.021,220.744,51.843,52,254,2.619,2.371,2.619,2.370,0.182,0.149,31.369,0
28,0.026,219.300,52.588,57,254,0.206,2.406,0.206,2.407,0.204,0.164,42.169,0
29,0.022,223.066,51.448,70,254,6.494,2.432,6.494,2.431,0.190,0.150,47.803,0
30,0.024,221.680,49.025,57,254,3.043,2.459,3.043,2.460,0.189,0.159,95.016,0
31,0.026,206.994,52.155,62,254,7.481,2.490,7.478,2.487,0.250,0.132,143.178,0
32,0.022,226.721,46.933,51,254,4.225,2.542,4.225,2.542,0.194,0.146,146.594,0
33,0.034,178.831,52.072,58,254,6.382,2.844,6.384,2.845,0.246,0.176,65.416,0
34,0.021,222.405,49.111,61,254,2.169,2.872,2.170,2.873,0.177,0.151,161.793,0
35,0.025,233.478,44.926,62,254,3.007,2.995,3.006,2.994,0.192,0.163,38.212,0
