 ,Area,Mean,StdDev,Min,Max,X,Y,XM,YM,Major,Minor,Angle,%Area
1,0.041,99.907,43.789,3,254,6.689,0.708,6.685,0.708,0.240,0.217,70.971,0
2,0.036,122.468,42.563,34,254,0.701,0.705,0.698,0.708,0.219,0.211,39.937,0
3,0.035,96.316,38.839,4,246,3.477,0.836,3.482,0.838,0.236,0.191,144.429,0
4,0.036,93.174,34.315,10,239,3.870,0.836,3.870,0.838,0.226,0.203,158.755,0
5,0.043,76.244,36.104,0,251,4.364,0.851,4.363,0.853,0.257,0.214,35.473,0
6,0.065,116.854,39.508,32,254,7.133,0.920,7.131,0.917,0.331,0.249,67.340,0
7,0.026,141.730,43.441,39,254,5.443,0.848,5.442,0.848,0.189,0.179,78.467,0
8,0.033,84.121,20.483,32,179,8.128,0.904,8.130,0.904,0.258,0.163,114.598,0
9,0.025,154.281,48.831,32,254,6.615,1.153,6.616,1.154,0.226,0.142,95.068,0
10,0.037,103.831,41.964,8,254,1.567,1.160,1.563,1.159,0.246,0.193,140.336,0
11,0.034,133.020,41.916,39,254,5.924,1.175,5.926,1.175,0.238,0.181,139.953,0
12,0.028,126.687,41.722,39,254,4.282,1.250,4.279,1.250,0.209,0.170,47.889,0
13,0.045,85.202,47.723,0,254,1.973,1.361,1.973,1.364,0.251,0.227,115.281,0
14,0.045,101.486,39.098,11,251,6.310,1.382,6.311,1.387,0.244,0.234,0.621,0
15,0.044,98.591,40.006,8,254,7.001,1.398,7.002,1.399,0.249,0.228,54.731,0
16,0.012,88.514,19.346,34,157,2.609,1.331,2.609,1.331,0.126,0.121,42.743,0
17,0.030,127.967,49.725,40,254,4.995,1.358,4.994,1.355,0.221,0.171,16.133,0
18,0.027,190.983,66.130,35,254,8.146,1.519,8.146,1.519,0.212,0.164,1.653,0
19,0.026,170.534,58.100,31,254,1.039,1.606,1.040,1.606,0.189,0.176,62.526,0
20,0.026,141.609,38.597,38,248,4.198,1.630,4.197,1.628,0.218,0.149,119.424,0
21,0.046,102.441,45.790,3,254,5.933,1.677,5.932,1.679,0.257,0.228,37.965,0
22,0.038,118.566,44.781,15,254,7.643,1.760,7.644,1.760,0.229,0.211,23.734,0
23,0.034,116.713,41.975,31,254,4.915,1.831,4.915,1.834,0.239,0.180,136.375,0
24,0.038,119.165,44.765,32,254,5.491,1.803,5.491,1.807,0.282,0.171,27.594,0
25,0.040,103.492,42.276,10,254,6.532,1.819,6.533,1.819,0.234,0.215,6.074,0
26,0.031,142.262,44.975,32,254,1.332,1.880,1.333,1.884,0.202,0.195,110.280,0
27,0.026,161.022,59.592,34,254,8.368,1.873,8.368,1.874,0.203,0.166,137.544,0
28,0.038,107.821,40.669,8,254,2.554,2.001,2.553,2.001,0.232,0.208,57.825,0
29,0.033,123.011,41.356,38,254,4.278,2.080,4.278,2.081,0.245,0.172,85.219,0
30,0.040,114.323,42.236,14,254,5.060,2.122,5.061,2.124,0.248,0.208,16.309,0
31,0.037,103.227,34.119,26,222,0.609,2.169,0.609,2.165,0.240,0.196,57.847,0
32,0.029,129.784,37.064,38,254,6.743,2.140,6.743,2.141,0.217,0.170,171.617,0
33,0.046,96.730,48.478,2,254,6.106,2.259,6.106,2.254,0.261,0.223,133.177,0
34,0.028,91.718,26.851,28,195,2.255,2.474,2.253,2.476,0.201,0.177,98.519,0
35,0.037,97.648,36.757,31,254,4.700,2.599,4.700,2.599,0.227,0.209,165.632,0
36,0.035,119.522,42.676,30,254,7.871,2.590,7.870,2.588,0.281,0.160,150.295,0
37,0.043,85.503,47.163,0,254,3.619,2.685,3.615,2.685,0.249,0.221,31.276,0
38,0.036,106.350,32.961,27,254,6.212,2.707,6.211,2.708,0.254,0.181,99.447,0
39,0.029,154.754,49.317,34,254,5.414,2.833,5.418,2.836,0.197,0.187,128.365,0
40,7.778E-4,76.243,13.264,39,108,3.625,2.804,3.626,2.804,0.034,0.029,13.203,0
41,0.039,104.976,45.107,6,254,2.042,2.972,2.042,2.969,0.233,0.210,110.860,0
42,0.034,124.040,47.057,30,254,0.364,2.999,0.367,2.999,0.230,0.190,4.973,0
43,0.024,158.506,51.196,35,254,6.069,3.038,6.072,3.039,0.179,0.174,86.308,0
44,0.030,157.210,50.154,34,254,1.273,3.062,1.272,3.060,0.209,0.182,141.518,0
45,0.035,93.271,25.231,30,179,4.893,3.209,4.894,3.210,0.242,0.184,52.710,0
46,0.048,86.258,46.868,0,254,1.954,3.328,1.958,3.325,0.262,0.235,55.867,0
47,0.026,160.366,58.845,31,254,5.526,3.328,5.526,3.331,0.225,0.145,143.590,0
48,0.029,140.299,44.635,35,254,5.737,3.441,5.740,3.437,0.215,0.173,77.820,0
49,0.043,98.634,34.037,12,252,2.987,3.530,2.984,3.528,0.268,0.204,96.412,0
50,0.029,157.842,48.347,32,254,2.584,3.535,2.585,3.535,0.209,0.176,131.132,0
51,0.033,144.351,47.904,36,254,5.012,3.686,5.008,3.688,0.223,0.189,119.986,0
52,0.033,141.476,49.214,30,254,8.436,3.679,8.435,3.678,0.211,0.200,150.358,0
53,0.026,158.474,49.259,34,254,6.211,3.678,6.207,3.678,0.193,0.173,130.723,0
54,0.037,83.835,20.581,28,172,4.150,3.850,4.149,3.849,0.252,0.186,115.695,0
55,0.005,71.150,15.209,34,129,8.142,3.852,8.142,3.852,0.083,0.069,175.298,0
56,0.034,124.822,49.704,35,254,2.911,3.945,2.912,3.942,0.245,0.178,82.627,0
57,0.042,100.879,39.264,15,254,2.435,3.978,2.440,3.981,0.239,0.221,101.273,0
58,0.039,90.679,22.786,32,193,7.702,3.986,7.705,3.988,0.258,0.194,45.746,0
59,0.034,124.724,38.234,34,250,5.320,4.048,5.317,4.047,0.216,0.198,161.799,0
60,0.040,178.080,52.466,35,254,4.384,4.182,4.384,4.181,0.228,0.223,104.799,0
61,0.044,80.738,39.365,0,254,3.185,4.214,3.183,4.209,0.246,0.229,57.176,0
62,0.038,109.097,37.839,34,252,8.244,4.271,8.243,4.274,0.258,0.188,83.863,0
63,0.038,109.118,36.493,26,254,6.686,4.262,6.687,4.262,0.268,0.181,3.253,0
64,0.036,142.397,44.082,30,254,7.159,4.355,7.159,4.353,0.278,0.167,168.920,0
65,0.054,144.881,44.365,38,254,3.280,4.475,3.280,4.478,0.274,0.253,142.428,0
66,0.029,143.941,49.690,34,254,2.610,4.567,2.606,4.565,0.206,0.182,104.913,0
67,0.039,115.209,40.206,32,254,8.049,4.593,8.049,4.589,0.280,0.176,178.896,0
68,0.032,93.560,25.016,35,201,1.977,4.734,1.979,4.734,0.231,0.176,62.256,0
69,0.039,104.661,42.514,7,254,4.314,4.751,4.315,4.750,0.227,0.220,16.064,0
70,0.036,99.041,38.430,8,254,1.474,4.894,1.473,4.893,0.239,0.191,32.263,0
71,0.034,117.607,44.712,42,254,4.596,5.001,4.597,4.999,0.253,0.169,22.555,0
72,0.023,135.578,39.561,40,254,2.932,5.027,2.932,5.026,0.175,0.166,12.593,0
73,0.033,141.876,53.879,38,254,0.191,5.103,0.185,5.102,0.249,0.170,54.490,0
74,0.037,128.315,43.552,26,254,3.871,5.100,3.867,5.093,0.237,0.199,22.742,0
75,0.044,106.424,44.711,12,254,4.193,5.248,4.192,5.247,0.257,0.216,84.426,0
76,0.027,151.709,48.658,39,254,5.535,5.229,5.535,5.229,0.217,0.158,96.236,0
77,0.042,121.607,42.131,32,251,6.843,5.312,6.843,5.313,0.238,0.227,65.945,0
78,0.030,108.447,42.319,38,254,3.454,5.370,3.454,5.369,0.234,0.164,20.605,0
79,0.036,126.566,47.863,34,254,8.392,5.411,8.392,5.408,0.272,0.168,139.775,0
80,0.033,116.844,40.679,35,254,1.622,5.476,1.621,5.477,0.268,0.158,129.307,0
81,0.030,140.839,47.081,38,254,4.512,5.436,4.514,5.434,0.210,0.185,8.006,0
82,0.035,98.337,40.777,35,254,2.254,5.561,2.256,5.564,0.248,0.179,34.058,0
83,0.040,99.936,37.801,7,254,0.267,5.677,0.267,5.677,0.236,0.217,145.703,0
84,0.037,115.966,40.154,38,254,1.418,5.723,1.417,5.725,0.233,0.200,124.431,0
85,0.038,121.495,45.681,28,254,8.359,5.793,8.364,5.791,0.277,0.173,103.519,0
86,0.030,130.807,40.279,39,254,3.382,5.776,3.381,5.777,0.237,0.162,26.917,0
87,0.034,129.037,44.637,35,254,4.539,5.805,4.538,5.807,0.246,0.177,69.181,0
88,0.033,116.622,36.143,27,244,3.997,5.954,4.000,5.958,0.234,0.178,92.041,0
89,0.033,130.943,46.694,30,254,6.429,5.960,6.428,5.960,0.215,0.193,14.740,0
90,0.033,121.522,34.059,44,240,3.264,5.991,3.265,5.990,0.226,0.185,168.576,0
91,0.030,116.919,44.050,40,254,2.328,6.006,2.330,6.006,0.236,0.165,127.521,0
92,0.033,109.550,39.033,16,254,2.893,6.071,2.890,6.069,0.239,0.177,168.865,0
93,0.038,97.757,25.703,30,216,3.710,6.171,3.708,6.173,0.229,0.211,177.630,0
94,0.028,153.723,49.766,34,254,4.218,6.204,4.217,6.208,0.209,0.168,179.679,0
95,0.035,118.176,40.876,39,254,3.360,6.241,3.359,6.240,0.271,0.162,140.138,0
96,0.031,109.014,41.721,18,254,2.586,6.268,2.587,6.266,0.259,0.152,131.559,0
97,0.030,100.344,35.238,28,254,5.639,6.289,5.645,6.287,0.243,0.156,145.381,0
98,0.038,104.470,42.059,12,254,1.279,6.337,1.281,6.336,0.230,0.209,141.865,0
99,0.031,130.333,42.919,35,254,4.579,6.356,4.576,6.355,0.205,0.194,75.409,0
100,0.030,101.277,37.247,30,250,6.167,6.403,6.164,6.400,0.207,0.182,55.070,0
101,0.030,89.297,25.065,27,200,5.258,6.510,5.261,6.510,0.232,0.166,100.131,0
102,0.032,97.145,33.652,34,254,2.038,6.594,2.038,6.595,0.239,0.171,164.038,0
103,0.048,73.359,40.686,0,232,3.251,6.730,3.250,6.730,0.252,0.242,81.390,0
104,0.040,84.550,39.745,0,254,2.695,6.715,2.693,6.716,0.242,0.213,8.073,0
105,0.032,122.064,34.051,43,254,1.211,6.827,1.211,6.829,0.221,0.184,57.107,0
106,0.034,116.678,44.128,31,254,0.227,6.908,0.229,6.908,0.220,0.194,158.420,0
107,0.033,112.110,43.031,27,254,2.406,6.946,2.404,6.948,0.236,0.178,111.141,0
108,0.009,69.369,13.007,35,121,4.550,6.967,4.550,6.967,0.122,0.093,122.313,0
109,0.034,124.152,42.966,32,254,2.727,7.054,2.727,7.052,0.226,0.189,151.438,0
110,0.041,101.707,37.303,12,254,0.375,7.183,0.376,7.178,0.241,0.217,117.160,0
111,0.032,130.658,42.287,40,254,6.121,7.185,6.121,7.185,0.207,0.195,108.951,0
112,0.032,137.272,49.229,38,254,8.189,7.209,8.192,7.205,0.231,0.174,139.188,0
113,0.036,104.864,29.432,39,236,1.216,7.353,1.220,7.354,0.272,0.171,49.903,0
114,0.035,105.329,32.990,18,227,4.816,7.647,4.817,7.650,0.228,0.198,167.611,0
115,0.031,107.808,38.636,36,254,4.667,7.988,4.670,7.987,0.254,0.156,51.118,0
116,0.034,97.386,25.630,32,201,1.411,8.071,1.411,8.073,0.224,0.193,35.932,0
117,0.027,157.740,53.644,32,254,4.423,8.165,4.420,8.165,0.208,0.166,54.132,0
118,0.033,125.901,36.605,38,254,0.712,8.185,0.712,8.182,0.234,0.178,49.093,0
119,0.031,160.113,56.520,40,254,6.972,8.235,6.973,8.233,0.212,0.187,167.190,0
120,0.013,95.025,28.010,40,212,3.911,8.258,3.909,8.258,0.189,0.090,175.298,0
121,0.037,107.261,42.931,19,254,8.002,8.337,8.003,8.339,0.243,0.194,61.107,0
122,0.013,87.598,26.529,42,191,3.933,8.368,3.929,8.368,0.168,0.101,22.424,0
